Wallet,Referral YUZU,Creation YUZU,Completion YUZU,Total YUZU,
0xbcf4c0532679d8aaeb3def7fa6e3f311d02d89f4,0,0,508,508,
0x09ae5f34d390c15ad07afe50403b3529c34c8d59,0,0,480,480,
0xa3b222110a7a2d955435dd7f7e78455f0919fd83,0,0,480,480,
0xa0a5597fa916480ccc031c047a84bb1b333a75bf,0,0,480,480,
0x30c4394f95b7abc311cf0cbbd6c9a3fb8ab63771,0,0,480,480,
0xbfcdc2f21dfd9ac76beb1f986e156ee73c93f889,0,0,480,480,
0x9156d9983be1a05065705ee953d1f8fb0615848c,0,0,480,480,
0x3ad0875f21b570ee70d47a4c07385de858989cbd,0,0,480,480,
0xc3157c5cf3add254347925b550eadc201e512cb4,0,0,450,450,
0x522e3b2523e9bd59105329339bfaf39bc36a7db2,0,0,450,450,
0xb107c4b92ee0ffca598ab0bc5e8612a1671b7daf,0,0,450,450,
0x1577a44ec10ac08e2fa06897a5346ead34a2b724,0,0,450,450,
0xed1ac6d23669f088ab22bc5d1783a3533e65faf4,0,0,450,450,
0xb4bb1e0b150d2c3882d0ae4e4a1e94a83316bd41,0,0,450,450,
0xb15ef9e1cc70523a39e609e15742d47ec4a596ed,0,0,450,450,
0x927eee8e49fc8a71721cae8fc2a5b4edd7455771,0,0,450,450,
0x6f85daa01ac52fa3f1339944e33f2002adaba63d,0,0,450,450,
0xeaa96b275fb3c7ebd8ad16c8dfaa75d3e6d0c016,0,0,450,450,
0x1880ee3f4a43a8cde4d47b768cbf986bbb935b98,0,0,450,450,
0x8b2466691c19c190cdda9eea2569a65e245329bc,0,0,420,420,
0xfab5b93c23d9610c8b199aa7b0b2e571b9ab63b1,0,0,420,420,
0xd7b1f486bd634c64595e98eb404f618b16f5d2da,0,0,420,420,
0x58450266ea3083c7aae6fd36e17de45515834d84,0,0,420,420,
0x060790ec6bbb4259a80c13f381f9b35f07994584,0,0,420,420,
0xecdb9f7e83a542f6fc93ce4185eeccea7bfeb347,0,400,0,400,
